artistUrl,id,image,nation,title,totalWorksTitle,year
/en/ancient-egyptian-painting,5d230b31edc2c9fb74ae130a,https://uploads2.wikiart.org/00244/images/ancient-egyptian-painting/stela-of-aafenmut-ca-924-889-b-c.jpg!PinterestLarge.jpg,Egyptians,Ancient Egypt,169 artworks,c.3150 BC - c.640 AD
/en/ancient-greek-pottery,5ced09b1edc2c993247c1ea0,https://uploads7.wikiart.org/00238/images/ancient-greek-pottery/hb-14-136-av5-1.jpg!PinterestLarge.jpg,Greeks,Ancient Greek Pottery,87 artworks,c.900 - 31 BC
/en/ancient-greek-painting,5ce3c54dedc2c921c4035b7d,https://uploads8.wikiart.org/00237/images/ancient-greek-painting/181029-r33122-1.jpg!PinterestLarge.jpg,Greeks,Ancient Greek Painting and Sculpture,76 artworks,c.700 - c.31 BC
/en/apelles,5ba232ccedc2c918cc654ea8,https://uploads2.wikiart.org/00202/images/apelles/315px-formella-18-apelle-o-la-pittura-nino-pisano-1334-1336-dettaglio-01.JPG!PinterestLarge.JPG,Greek,Apelles,8 artworks,born c.370 BC
/en/fayum-portrait,5beea1ededc2c915a01acdda,https://uploads7.wikiart.org/00210/images//01.jpg!PinterestLarge.jpg,Egyptians,Fayum portrait,76 artworks,c.50 - c.250
/en/orthodox-icons,604c882eedc2c9b07ccf7143,https://uploads1.wikiart.org/00332/images//christ-the-saviour-pantokrator.jpg!PinterestLarge.jpg,Greeks,Orthodox Icons,437 artworks,born c.330
/en/wu-daozi,57726e04edc2cb3880b5606d,https://uploads0.wikiart.org/00291/images/wu-daozi/the-teaching-confucius-1.jpg!PinterestLarge.jpg,Chinese,Wu Daozi,8 artworks,c.680 - 760
/en/wang-wei,57726e01edc2cb3880b55bfa,https://uploads6.wikiart.org/00291/images/wang-wei/portrait-of-fu-sheng-jpg-large.jpg!PinterestLarge.jpg,Chinese,Wang Wei,4 artworks,699 - 759
/en/han-gan,57726e04edc2cb3880b56061,https://uploads5.wikiart.org/00291/images/han-gan/portrait-of-emperor-xuanzong-1.jpg!PinterestLarge.jpg,Chinese,Han Gan,4 artworks,c.706 - 783
/en/chen-hong,57726e03edc2cb3880b56055,https://uploads4.wikiart.org/00291/images/chen-hong/detail-jpg-pinterestsmall-1.jpg!PinterestLarge.jpg,Chinese,Chen Hong,3 artworks,fl.c. 750
/en/guanxiu,57726e03edc2cb3880b56023,https://uploads6.wikiart.org/00291/images/guanxiu/the-5th-nakula-arhat-1.jpg!PinterestLarge.jpg,Chinese,Guanxiu,16 artworks,832 - 912
/en/li-cheng,579b1f9bedc2c90ff4ad6cf9,https://uploads5.wikiart.org/00291/images/li-cheng/wintry-forest-level-distance-jpg-large.jpg!PinterestLarge.jpg,Chinese,Li Cheng,9 artworks,919 - 967
/en/guo-xi,57726dd7edc2cb3880b51a75,https://uploads0.wikiart.org/00291/images/guo-xi/guo-xi-early-spring-large-jpg-large.jpg!PinterestLarge.jpg,Chinese,Guo Xi,7 artworks,c.1020 - c.1090
/en/li-tang,57726dceedc2cb3880b50bd4,https://uploads3.wikiart.org/00291/images/li-tang/wind-in-the-pines-among-a-myriad-valleys-1124-jpg-large.jpg!PinterestLarge.jpg,Chinese,Li Tang,4 artworks,c.1050 - c.1130
/en/emperor-huizong,57726dc0edc2cb3880b4f587,https://uploads5.wikiart.org/temp/fa513579-de60-41c0-ae1e-145ee2b1af3b.jpg!PinterestLarge.jpg,Chinese,Emperor Huizong,10 artworks,1082 - 1135
/en/ma-yuan,57726dcdedc2cb3880b50ba8,https://uploads3.wikiart.org/00291/images/ma-yuan/confucius-jpg-large.jpg!PinterestLarge.jpg,Chinese,Ma Yuan,14 artworks,c.1160 - 1225
/en/alberto-sotio,58334c49edc2c9a7e450d340,https://uploads4.wikiart.org/00290/images/alberto-sotio/65079e6e3c8c6bc328451843901092e2.jpg!PinterestLarge.jpg,Italian,Alberto Sotio,5 artworks,fl.c. 1187
/en/toros-roslin,5dba2afeedc2c905a8ed3ada,https://uploads2.wikiart.org/00261/images/toros-roslin/roslin-statue-matenadaran.jpg!PinterestLarge.jpg,Armenian,Toros Roslin,25 artworks,c.1210 - c.1270
/en/qian-xuan,57726dafedc2cb3880b4db40,https://uploads6.wikiart.org/00291/images/qian-xuan/1-jpg-large.jpg!PinterestLarge.jpg,Chinese,Qian Xuan,28 artworks,1235 - 1305
/en/cimabue,57726d7dedc2cb3880b47cf2,https://uploads5.wikiart.org/images/cimabue.jpg!PinterestLarge.jpg,Italian,Cimabue,18 artworks,c.1251 - 1302
/en/duccio,57726d8bedc2cb3880b49b90,https://uploads1.wikiart.org/00288/images/duccio/the-position-of-mary-in-the-tomb-fragment-1311.jpg!PinterestLarge.jpg,Italian,Duccio,135 artworks,c.1255 - c.1318
/en/guan-daosheng,57726dd1edc2cb3880b5109e,https://uploads7.wikiart.org/00289/images/guan-daosheng/portrait-of-lady-su-hui-with-a-palindrome-in-the-manner-of-zhu-shuzheng-jpg-large.jpg!PinterestLarge.jpg,Chinese,Guan Daosheng,5 artworks,1262 - 1319
/en/giotto,57726d7eedc2cb3880b47ed8,https://uploads4.wikiart.org/images/giotto.jpg!PinterestLarge.jpg,Italian,Giotto,136 artworks,c.1266 - 1337
/en/pietro-lorenzetti,5892e1f7edc2c9e3b8c7f945,https://uploads4.wikiart.org/00288/images/pietro-lorenzetti/pietro-lorenzetti-madonna-col-bambino-fra-otto-angeli-google-art-project-1.jpg!PinterestLarge.jpg,Italian,Pietro Lorenzetti,24 artworks,c.1280 - 1348
/en/simone-martini,57726dd4edc2cb3880b51606,https://uploads3.wikiart.org/images/simone-martini.jpg!PinterestLarge.jpg,Italian,Simone Martini,10 artworks,1284 - 1344
/en/ambrogio-lorenzetti,5892cb78edc2c9e3b89905e3,https://uploads6.wikiart.org/00117/images//lorenzetti-ambrogio.jpg!PinterestLarge.jpg,Italian,Ambrogio Lorenzetti,20 artworks,c.1290 - 1348
